year,category,prize,motivation,prize_share,laureate_type,full_name,birth_date,birth_city,birth_country,birth_country_current,sex,organization_name,organization_city,organization_country,ISO,winning_age
1901,Chemistry,The Nobel Prize in Chemistry 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",1-Jan,Individual,Jacobus Henricus van 't Hoff,1852-08-30,Rotterdam,Netherlands,Netherlands,Male,Berlin University,Berlin,Germany,NLD,49.0
1901,Literature,The Nobel Prize in Literature 1901,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",1-Jan,Individual,Sully Prudhomme,1839-03-16,Paris,France,France,Male,,,,FRA,62.0
1901,Medicine,The Nobel Prize in Physiology or Medicine 1901,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",1-Jan,Individual,Emil Adolf von Behring,1854-03-15,Hansdorf (Lawice),Prussia (Poland),Poland,Male,Marburg University,Marburg,Germany,POL,47.0
1901,Peace,The Nobel Peace Prize 1901,,2-Jan,Individual,Frédéric Passy,1822-05-20,Paris,France,France,Male,,,,FRA,79.0
1901,Peace,The Nobel Peace Prize 1901,,2-Jan,Individual,Jean Henry Dunant,1828-05-08,Geneva,Switzerland,Switzerland,Male,,,,CHE,73.0
1901,Physics,The Nobel Prize in Physics 1901,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",1-Jan,Individual,Wilhelm Conrad Röntgen,1845-03-27,Lennep (Remscheid),Prussia (Germany),Germany,Male,Munich University,Munich,Germany,DEU,56.0
1902,Chemistry,The Nobel Prize in Chemistry 1902,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",1-Jan,Individual,Hermann Emil Fischer,1852-10-09,Euskirchen,Prussia (Germany),Germany,Male,Berlin University,Berlin,Germany,DEU,50.0
1902,Literature,The Nobel Prize in Literature 1902,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",1-Jan,Individual,Christian Matthias Theodor Mommsen,1817-11-30,Garding,Schleswig (Germany),Germany,Male,,,,DEU,85.0
1902,Medicine,The Nobel Prize in Physiology or Medicine 1902,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",1-Jan,Individual,Ronald Ross,1857-05-13,Almora,India,India,Male,University College London,Liverpool,United Kingdom,IND,45.0
1902,Peace,The Nobel Peace Prize 1902,,2-Jan,Individual,Charles Albert Gobat,1843-05-21,Tramelan,Switzerland,Switzerland,Male,,,,CHE,59.0
1902,Peace,The Nobel Peace Prize 1902,,2-Jan,Individual,Élie Ducommun,1833-02-19,Geneva,Switzerland,Switzerland,Male,,,,CHE,69.0
1902,Physics,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",2-Jan,Individual,Hendrik Antoon Lorentz,1853-07-18,Arnhem,Netherlands,Netherlands,Male,Leiden University,Leiden,Netherlands,NLD,49.0
1902,Physics,The Nobel Prize in Physics 1902,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",2-Jan,Individual,Pieter Zeeman,1865-05-25,Zonnemaire,Netherlands,Netherlands,Male,Amsterdam University,Amsterdam,Netherlands,NLD,37.0
1903,Chemistry,The Nobel Prize in Chemistry 1903,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",1-Jan,Individual,Svante August Arrhenius,1859-02-19,Vik,Sweden,Sweden,Male,Stockholm University,Stockholm,Sweden,SWE,44.0
1903,Literature,The Nobel Prize in Literature 1903,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",1-Jan,Individual,Bjørnstjerne Martinus Bjørnson,1832-12-08,Kvikne,Norway,Norway,Male,,,,NOR,71.0
1903,Medicine,The Nobel Prize in Physiology or Medicine 1903,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""",1-Jan,Individual,Niels Ryberg Finsen,1860-12-15,Thorshavn,Faroe Islands (Denmark),Denmark,Male,Finsen Medical Light Institute,Copenhagen,Denmark,DNK,43.0
1903,Peace,The Nobel Peace Prize 1903,,1-Jan,Individual,William Randal Cremer,1828-03-18,Fareham,United Kingdom,United Kingdom,Male,,,,GBR,75.0
